29,3,elev
-30,6,elev
54,-10,ins1
26,-15,ins1
19,-2,ins1
0,-27,ins1
-43,-22,ins2
-16,-22,ins2
18,-22,ins2
34,-15,ins2
1,9,ins2
3,11,ins3
23,-12,ins3
37,-17,ins4
3,10,ins4
-43,-22,ins4
18,-5,ins5
-15,-23,ins5
3,10,ins5
3,10,ins6
31,-13,ins6
53,-11,ins6
30,-1,prc10
32,-41,prc10
-56,25,prc11
46,2,prc11
51,-26,prc11
41,-49,prc11
19,8,prc12
24,-49,prc12
-45,14,prc1
-12,7,prc1
15,-37,prc1
-54,15,prc2
16,1,prc2
44,-9,prc2
32,-34,prc2
41,-7,prc3
22,-19,prc3
22,-39,prc3
-44,-24,prc4
9,-29,prc4
7,2,prc4
-53,21,prc5
-38,-21,prc5
-5,-35,prc5
-20,-17,prc6
-14,-48,prc6
-44,-32,prc6
-14,-38,prc7
-49,-37,prc7
-11,-29,prc8
-45,-24,prc8
52,-6,prc9
32,-46,prc9
48,-12,veg10
-24,-11,veg10
46,-11,veg11
2,3,veg11
-20,-3,veg11
-54,5,veg11
56,-55,veg12
18,-54,veg12
0,-55,veg12
-28,-53,veg12
56,-26,veg13
11,-33,veg13
31,-20,veg13
48,-54,veg14
29,-32,veg14
6,-3,veg14
-14,-29,veg14
-48,-11,veg14
54,-55,veg15
36,-36,veg15
-10,-29,veg15
-14,-10,veg15
-54,-12,veg15
48,-47,veg16
27,-23,veg16
28,-52,veg16
-17,-4,veg16
-25,-23,veg16
-54,-10,veg16
53,-51,veg1
16,-52,veg1
-6,-53,veg1
51,-52,veg2
33,-41,veg2
-24,-54,veg2
49,-52,veg3
33,-46,veg3
-4,-51,veg3
-55,-54,veg3
43,-38,veg4
56,-27,veg4
-35,-53,veg4
-54,-13,veg4
45,-16,veg5
-51,1,veg5
58,-3,veg6
-55,7,veg6
-40,0,veg6
48,-5,veg7
25,4,veg7
-8,4,veg7
-34,7,veg7
-41,28,veg7
47,8,veg8
48,-12,veg8
31,11,veg8
-7,2,veg8
-55,12,veg8
13,9,veg9
18,-8,veg9
0,-10,veg9
